file_name,text
00001.png,Assignemnt No: 10
00002.png,Name:
00003.png,Prutha
00004.png,Sanjay
00005.png,Pawade
00006.png,Roll No:
00007.png,CS -B
00008.png,(89)
00009.png,PRN:
00010.png,12320120
00011.png,Write /
00012.png,Elabarate
00013.png,about
00014.png,Record
00015.png,Blocking
00016.png,Assignment
00017.png,No: 9
00018.png,Write
00019.png,a
00020.png,Short
00021.png,Note
00022.png,on
00023.png,Input
00024.png,/
00025.png,output
00026.png,system
00027.png,->
00028.png,1
00029.png,It
00030.png,manages
00031.png,input
00032.png,/output
00033.png,data
00034.png,within
00035.png,Assignment No: 7
00036.png,System
00037.png,Assignemnt
00038.png,No
00039.png,2
00040.png,It
00041.png,7
00042.png,evolves
00043.png,Name: Prutha
00044.png,Prutha
00045.png,Name
00046.png,Sanjay
00047.png,Pawade
00048.png,Roll No:
00049.png,Roll
00050.png,No:
00051.png,89
00052.png,communication
00053.png,CS
00054.png,between
00055.png,CPU
00056.png,and
00057.png,memory
00058.png,3
00059.png,It
00060.png,- B
00061.png,also
00062.png,perform
00063.png,89 CS - B
00064.png,IPC
00065.png,in
00066.png,between
00067.png,Perripherals
00068.png,devices
00069.png,PRN: 12320120
00070.png,assigned
00071.png,PRN:
00072.png,with
00073.png,12320120
00074.png,computers.
00075.png,1)
00076.png,4
00077.png,The
00078.png,Process
00079.png,I/O
00080.png,size
00081.png,and
00082.png,origanisation
00083.png,block
00084.png,is
00085.png,critical
00086.png,memory
00087.png,is
00088.png,for
00089.png,given
00090.png,overall
00091.png,block
00092.png,performance
00093.png,and
00094.png,size:
00095.png,efficiency
00096.png,of
00097.png,"{ 100, 500, 200,"
00098.png,computer
00099.png,"300, 600 }"
00100.png,system.
00101.png,5
00102.png,It
00103.png,also
00104.png,involves
00105.png,Process size and block memory is given
00106.png,specific
00107.png,data
00108.png,transmission
00109.png,Process Size:
00110.png,error
00111.png,First Fit:
00112.png,First
00113.png,Fit:
00114.png,checking
00115.png,and
00116.png,1st
00117.png,converting
00118.png,data
00119.png,formats
00120.png,*
00121.png,key
00122.png,2nd
00123.png,components
00124.png,"{ 100, 288, 200, 300, 600"
00125.png,{
00126.png,of
00127.png,I/O
00128.png,origanisation:
00129.png,3rd
00130.png,1)
00131.png,I/O
00132.png,4th :
00133.png,P1/P3
00134.png,modules:
00135.png,Acts
00136.png,as
00137.png,P4
00138.png,an
00139.png,Peripherial
00140.png,device
00141.png,in
00142.png,Process
00143.png,between
00144.png,peripherial
00145.png,P2
00146.png,devices
00147.png,will
00148.png,and
00149.png,remain
00150.png,CPU.
00151.png,out
00152.png,2)
00153.png,of
00154.png,Buses:
